prefecture,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Fukui,2020/03/03,0,9,9,-14,-1,2
Fukui,2020/03/04,-4,5,-1,-16,-1,3
Fukui,2020/03/05,-4,3,-9,-16,-1,4
Fukui,2020/03/06,-3,5,10,-15,-2,4
Fukui,2020/03/07,-4,6,25,-13,-2,3
Fukui,2020/03/08,-7,4,-26,-24,-3,5
Fukui,2020/03/09,-1,3,35,-6,-1,2
Fukui,2020/03/10,-6,2,-13,-18,-1,4
Fukui,2020/03/11,1,4,1,-12,-1,3
Fukui,2020/03/12,9,6,51,-4,-3,2
Fukui,2020/03/13,2,4,24,-11,-3,3
Fukui,2020/03/14,1,6,-7,-19,-6,4
Fukui,2020/03/15,-6,1,-13,-16,-4,4
Fukui,2020/03/16,-4,1,-13,-12,-1,3
Fukui,2020/03/17,0,3,10,-9,-2,3
Fukui,2020/03/18,4,5,43,-5,-1,2
Fukui,2020/03/19,12,9,48,0,-3,1
Fukui,2020/03/20,16,10,20,-7,-55,19
Fukui,2020/03/21,1,9,84,10,-10,3
Fukui,2020/03/22,-7,2,-24,-6,-4,4
Fukui,2020/03/23,3,4,35,-2,-1,2
Fukui,2020/03/24,1,4,13,-6,-1,3
Fukui,2020/03/25,10,8,56,-1,-2,2
Fukui,2020/03/26,7,12,68,0,-3,2
Fukui,2020/03/27,-6,5,-17,-14,-3,5
Fukui,2020/03/28,-10,6,-16,-21,-5,6
Fukui,2020/03/29,-13,5,-18,-19,-2,6
Fukui,2020/03/30,-2,6,27,-7,-5,4
Fukui,2020/03/31,-3,8,39,-13,-4,3
Fukui,2020/04/01,-14,1,-8,-20,-6,5
Fukui,2020/04/02,-11,7,15,-20,-7,6
Fukui,2020/04/03,-15,10,46,-20,-8,6
Fukui,2020/04/04,-26,9,43,-28,-13,9
Fukui,2020/04/05,-35,3,-20,-41,-17,10
Fukui,2020/04/06,-19,6,18,-23,-10,7
Fukui,2020/04/07,-21,5,36,-26,-11,7
Fukui,2020/04/08,-24,3,27,-28,-12,8
Fukui,2020/04/09,-23,2,32,-30,-11,8
Fukui,2020/04/10,-27,4,-5,-36,-12,10
Fukui,2020/04/11,-33,2,19,-44,-23,12
Fukui,2020/04/12,-42,-6,-40,-55,-19,12
Fukui,2020/04/13,-33,-7,-33,-39,-12,10
Fukui,2020/04/14,-27,0,13,-34,-12,9
Fukui,2020/04/15,-24,5,45,-32,-13,9
Fukui,2020/04/16,-24,2,33,-33,-14,10
Fukui,2020/04/17,-29,3,11,-39,-15,12
Fukui,2020/04/18,-44,-8,-44,-55,-20,14
Fukui,2020/04/19,-44,-5,-24,-52,-20,12
Fukui,2020/04/20,-33,-7,-24,-38,-15,11
Fukui,2020/04/21,-32,-3,0,-36,-15,10
Fukui,2020/04/22,-33,-4,-16,-38,-16,11
Fukui,2020/04/23,-34,-8,-23,-41,-16,12
Fukui,2020/04/24,-35,0,-24,-44,-17,14
Fukui,2020/04/25,-38,-1,13,-45,-23,12
Fukui,2020/04/26,-47,-11,-47,-57,-22,13
Fukui,2020/04/27,-27,-2,13,-33,-16,10
Fukui,2020/04/28,-26,4,13,-36,-17,9
Fukui,2020/04/29,-22,0,58,-48,-61,20
Fukui,2020/04/30,-23,4,28,-40,-24,13
Fukui,2020/05/01,-27,4,7,-42,-28,17
Fukui,2020/05/02,-37,-2,5,-47,-29,14
Fukui,2020/05/03,-40,-6,-17,-50,-27,11
Fukui,2020/05/04,-15,0,22,-52,-73,29
Fukui,2020/05/05,-13,6,34,-48,-74,29
Fukui,2020/05/06,-23,-3,-10,-58,-71,30
Fukui,2020/05/07,-22,2,23,-35,-19,11
Fukui,2020/05/08,-28,2,13,-36,-18,12
Fukui,2020/05/09,-34,-3,-28,-48,-14,12
Fukuoka,2020/02/15,-1,4,7,-3,4,0
Fukuoka,2020/02/16,-6,-3,-30,-7,-1,2
Fukuoka,2020/02/17,-7,-1,-19,-2,0,2
Fukuoka,2020/02/18,-3,-3,-3,-5,-1,1
Fukuoka,2020/02/19,1,1,20,-2,0,0
Fukuoka,2020/02/20,3,3,10,-1,0,0
Fukuoka,2020/02/21,-1,2,7,-2,0,1
Fukuoka,2020/02/22,-2,3,-6,-5,-1,1
Fukuoka,2020/02/23,1,6,34,4,1,-1
Fukuoka,2020/02/24,17,3,71,-20,-54,13
Fukuoka,2020/02/25,-2,3,-6,-2,1,1
Fukuoka,2020/02/26,-1,4,9,-6,1,1
Fukuoka,2020/02/27,-2,6,-3,-8,0,1
Fukuoka,2020/02/28,-3,10,-19,-16,1,2
Fukuoka,2020/02/29,-12,5,-50,-33,4,5
Fukuoka,2020/03/01,-8,8,-14,-31,3,3
Fukuoka,2020/03/02,-5,6,7,-22,0,3
Fukuoka,2020/03/03,-2,5,12,-23,-2,3
Fukuoka,2020/03/04,-6,2,1,-24,-2,4
Fukuoka,2020/03/05,-5,3,6,-24,-2,3
Fukuoka,2020/03/06,-8,1,10,-24,-2,4
Fukuoka,2020/03/07,-15,-4,-38,-36,-3,6
Fukuoka,2020/03/08,-9,4,14,-31,-2,4
Fukuoka,2020/03/09,-9,0,6,-21,-1,4
Fukuoka,2020/03/10,-7,-3,-30,-24,-4,5
Fukuoka,2020/03/11,0,4,27,-21,-3,3
Fukuoka,2020/03/12,0,5,25,-21,-3,2
Fukuoka,2020/03/13,-3,1,7,-23,-3,4
Fukuoka,2020/03/14,-5,2,-5,-32,-6,4
Fukuoka,2020/03/15,-7,2,9,-31,-3,3
Fukuoka,2020/03/16,-5,1,5,-20,-1,3
Fukuoka,2020/03/17,1,1,22,-22,-4,3
Fukuoka,2020/03/18,-1,1,33,-18,-3,2
Fukuoka,2020/03/19,6,4,21,-13,-3,1
Fukuoka,2020/03/20,11,3,51,-35,-52,14
Fukuoka,2020/03/21,-6,4,30,-27,-7,2
Fukuoka,2020/03/22,-8,-1,3,-27,-3,3
Fukuoka,2020/03/23,-2,2,31,-16,-2,2
Fukuoka,2020/03/24,1,1,32,-18,-4,2
Fukuoka,2020/03/25,5,6,49,-16,-4,2
Fukuoka,2020/03/26,-2,1,-22,-19,-5,3
Fukuoka,2020/03/27,-11,-5,-34,-25,-6,6
Fukuoka,2020/03/28,-12,-2,-43,-35,-6,6
Fukuoka,2020/03/29,-13,6,34,-34,-3,4
Fukuoka,2020/03/30,-5,3,10,-22,-5,4
Fukuoka,2020/03/31,-3,3,22,-23,-5,4
Fukuoka,2020/04/01,-14,-3,-17,-27,-7,6
Fukuoka,2020/04/02,-8,6,40,-26,-9,5
Fukuoka,2020/04/03,-14,4,29,-31,-9,6
Fukuoka,2020/04/04,-22,5,35,-47,-13,8
Fukuoka,2020/04/05,-25,3,34,-50,-14,8
Fukuoka,2020/04/06,-13,8,30,-29,-8,6
Fukuoka,2020/04/07,-13,4,25,-34,-12,7
Fukuoka,2020/04/08,-23,-2,26,-39,-15,9
Fukuoka,2020/04/09,-24,0,18,-42,-18,10
Fukuoka,2020/04/10,-26,1,3,-45,-19,12
Fukuoka,2020/04/11,-33,0,-6,-60,-26,13
Fukuoka,2020/04/12,-47,-18,-66,-69,-29,14
Fukuoka,2020/04/13,-35,-10,-40,-50,-20,14
Fukuoka,2020/04/14,-25,-1,32,-48,-22,12
Fukuoka,2020/04/15,-24,4,31,-48,-23,12
Fukuoka,2020/04/16,-26,2,27,-49,-24,13
Fukuoka,2020/04/17,-34,-4,-16,-54,-25,16
Fukuoka,2020/04/18,-38,-4,6,-61,-26,14
Fukuoka,2020/04/19,-45,-14,-25,-66,-29,13
Fukuoka,2020/04/20,-32,-4,14,-51,-23,14
Fukuoka,2020/04/21,-32,-5,20,-52,-26,14
Fukuoka,2020/04/22,-33,-6,18,-53,-26,14
Fukuoka,2020/04/23,-36,-7,-2,-55,-27,15
Fukuoka,2020/04/24,-35,-3,5,-54,-26,16
Fukuoka,2020/04/25,-40,-5,1,-61,-28,15
Fukuoka,2020/04/26,-44,-10,-5,-65,-29,13
Fukuoka,2020/04/27,-32,-3,20,-51,-24,14
Fukuoka,2020/04/28,-28,-2,23,-51,-26,13
Fukuoka,2020/04/29,-28,-7,43,-67,-64,22
Fukuoka,2020/04/30,-29,1,15,-52,-29,15
Fukuoka,2020/05/01,-34,-2,6,-55,-32,18
Fukuoka,2020/05/02,-40,-5,-7,-62,-29,15
Fukuoka,2020/05/03,-50,-21,-62,-71,-34,15
Fukuoka,2020/05/04,-25,-5,17,-69,-71,28
Fukuoka,2020/05/05,-22,-6,27,-69,-72,28
Fukuoka,2020/05/06,-27,-7,38,-68,-69,27
Fukuoka,2020/05/07,-30,-2,11,-48,-23,13
Fukuoka,2020/05/08,-33,-2,7,-51,-24,15
Fukuoka,2020/05/09,-42,-11,-42,-62,-22,15
Fukushima,2020/02/15,-1,3,23,-1,6,0
Fukushima,2020/02/16,-6,-2,-33,-11,-1,2
Fukushima,2020/02/17,-1,0,-4,4,1,1
Fukushima,2020/02/18,2,1,-6,0,1,1
Fukushima,2020/02/19,3,3,17,0,1,0
Fukushima,2020/02/20,3,4,7,0,1,0
Fukushima,2020/02/21,-1,1,6,-2,1,1
Fukushima,2020/02/22,0,3,5,7,-1,1
Fukushima,2020/02/23,-1,1,-19,3,0,1
Fukushima,2020/02/24,27,4,26,7,-53,15
Fukushima,2020/02/25,0,5,-5,1,2,0
Fukushima,2020/02/26,2,6,8,-1,1,0
Fukushima,2020/02/27,1,6,-1,-5,1,1
Fukushima,2020/02/28,4,16,-2,-16,2,1
Fukushima,2020/02/29,-4,11,-6,-23,8,2
Fukushima,2020/03/01,-5,14,-6,-23,6,3
Fukushima,2020/03/02,-6,1,-17,-19,0,3
Fukushima,2020/03/03,0,8,2,-15,1,2
Fukushima,2020/03/04,-4,0,-2,-20,-2,4
Fukushima,2020/03/05,-5,1,-7,-21,-1,4
Fukushima,2020/03/06,-7,-1,-4,-23,-1,4
Fukushima,2020/03/07,-5,2,20,-19,0,3
Fukushima,2020/03/08,-10,-1,-37,-27,-3,5
Fukushima,2020/03/09,-3,1,13,-14,0,3
Fukushima,2020/03/10,-4,1,-22,-19,-2,4
Fukushima,2020/03/11,3,5,23,-16,-2,2
Fukushima,2020/03/12,3,5,20,-15,-1,2
Fukushima,2020/03/13,0,3,16,-19,-3,3
Fukushima,2020/03/14,-8,-1,-29,-24,-5,5
Fukushima,2020/03/15,-4,5,13,-18,0,3
Fukushima,2020/03/16,1,0,-2,-13,-2,3
Fukushima,2020/03/17,2,4,10,-14,-1,2
Fukushima,2020/03/18,5,4,30,-13,-1,2
Fukushima,2020/03/19,14,10,37,-4,-2,0
Fukushima,2020/03/20,16,8,11,-14,-55,18
Fukushima,2020/03/21,0,5,49,-4,-9,3
Fukushima,2020/03/22,-5,2,4,-6,1,2
Fukushima,2020/03/23,4,-1,13,-10,-4,3
Fukushima,2020/03/24,2,2,5,-12,-2,3
Fukushima,2020/03/25,8,7,33,-10,-2,1
Fukushima,2020/03/26,8,9,35,-11,-3,2
Fukushima,2020/03/27,1,5,20,-18,-3,3
Fukushima,2020/03/28,-4,4,1,-20,-3,4
Fukushima,2020/03/29,-21,-7,-51,-35,-4,7
Fukushima,2020/03/30,4,2,10,-12,-4,3
Fukushima,2020/03/31,5,7,22,-16,-3,3
Fukushima,2020/04/01,-6,6,4,-23,-5,3
Fukushima,2020/04/02,-5,4,8,-24,-6,4
Fukushima,2020/04/03,-8,3,44,-27,-6,5
Fukushima,2020/04/04,-10,5,57,-28,-7,6
Fukushima,2020/04/05,-15,3,4,-36,-8,7
Fukushima,2020/04/06,-5,2,19,-18,-9,5
Fukushima,2020/04/07,-6,5,41,-21,-6,4
Fukushima,2020/04/08,-8,3,56,-23,-7,4
Fukushima,2020/04/09,-11,3,31,-25,-8,5
Fukushima,2020/04/10,-16,3,5,-32,-7,7
Fukushima,2020/04/11,-18,3,46,-38,-17,9
Fukushima,2020/04/12,-22,0,28,-43,-12,8
Fukushima,2020/04/13,-24,-11,-34,-31,-9,9
Fukushima,2020/04/14,-12,3,5,-25,-6,6
Fukushima,2020/04/15,-8,9,55,-23,-7,4
Fukushima,2020/04/16,-13,5,24,-27,-7,6
Fukushima,2020/04/17,-17,6,19,-35,-8,7
Fukushima,2020/04/18,-42,-17,-56,-60,-19,15
Fukushima,2020/04/19,-32,-1,-23,-54,-15,11
Fukushima,2020/04/20,-24,-5,-29,-35,-10,9
Fukushima,2020/04/21,-21,-1,10,-38,-12,9
Fukushima,2020/04/22,-23,-3,8,-41,-14,9
Fukushima,2020/04/23,-24,-3,8,-42,-14,10
Fukushima,2020/04/24,-28,-1,-6,-48,-16,12
Fukushima,2020/04/25,-31,-2,12,-51,-22,12
Fukushima,2020/04/26,-35,-6,-8,-56,-21,12
Fukushima,2020/04/27,-20,-2,9,-40,-17,10
Fukushima,2020/04/28,-15,1,8,-41,-18,9
Fukushima,2020/04/29,-13,-4,52,-54,-61,20
Fukushima,2020/04/30,-16,2,20,-43,-25,13
Fukushima,2020/05/01,-23,2,14,-51,-29,16
Fukushima,2020/05/02,-34,-7,8,-53,-29,14
Fukushima,2020/05/03,-35,-8,6,-53,-26,11
Fukushima,2020/05/04,-8,-6,32,-54,-72,28
Fukushima,2020/05/05,-4,2,51,-51,-73,28
Fukushima,2020/05/06,-17,-7,-1,-60,-71,29
Fukushima,2020/05/07,-20,0,14,-43,-18,11
Fukushima,2020/05/08,-23,-2,18,-47,-18,12
Fukushima,2020/05/09,-29,-5,4,-51,-14,11
Gifu,2020/02/15,0,4,-2,0,4,0
Gifu,2020/02/16,-9,-6,-44,-13,-2,3
Gifu,2020/02/17,-1,4,-2,2,0,0
Gifu,2020/02/18,1,-1,-11,-2,-2,1
Gifu,2020/02/19,3,3,1,-2,0,0
Gifu,2020/02/20,5,4,0,-1,0,0
Gifu,2020/02/21,0,3,3,-1,1,1
Gifu,2020/02/22,-4,0,-33,-4,-3,2
Gifu,2020/02/23,2,6,-4,6,0,0
Gifu,2020/02/24,27,9,67,0,-48,12
Gifu,2020/02/25,-1,6,-10,-4,0,1
Gifu,2020/02/26,0,5,-2,-6,1,1
Gifu,2020/02/27,-1,8,-7,-7,1,1
Gifu,2020/02/28,-1,16,-6,-15,2,2
Gifu,2020/02/29,-8,16,-36,-28,3,4
Gifu,2020/03/01,-9,11,-8,-24,4,4
Gifu,2020/03/02,-7,9,-10,-18,-2,3
Gifu,2020/03/03,-3,9,5,-19,-3,3
Gifu,2020/03/04,-11,1,-27,-23,-3,5
Gifu,2020/03/05,-7,4,-19,-21,-3,4
Gifu,2020/03/06,-7,4,-1,-21,-4,5
Gifu,2020/03/07,-8,7,0,-25,-3,5
Gifu,2020/03/08,-15,-3,-56,-38,-6,7
Gifu,2020/03/09,-5,4,11,-15,-3,3
Gifu,2020/03/10,-9,-3,-35,-24,-5,5
Gifu,2020/03/11,-1,5,1,-17,-4,3
Gifu,2020/03/12,2,6,16,-14,-3,3
Gifu,2020/03/13,-2,4,8,-19,-4,4
Gifu,2020/03/14,-6,2,-42,-31,-7,6
Gifu,2020/03/15,-5,5,-2,-22,-3,4
Gifu,2020/03/16,-5,2,-19,-17,-3,4
Gifu,2020/03/17,-1,3,9,-15,-3,3
Gifu,2020/03/18,1,4,13,-13,-4,3
Gifu,2020/03/19,9,7,16,-9,-3,2
Gifu,2020/03/20,19,10,32,-19,-48,16
Gifu,2020/03/21,-1,7,38,-9,-7,3
Gifu,2020/03/22,-4,3,6,-12,-3,3
Gifu,2020/03/23,-1,2,7,-11,-3,3
Gifu,2020/03/24,0,3,2,-15,-4,3
Gifu,2020/03/25,5,6,23,-10,-5,3
Gifu,2020/03/26,4,10,36,-8,-4,3
Gifu,2020/03/27,-9,1,-34,-23,-6,7
Gifu,2020/03/28,-11,5,-25,-29,-7,6
Gifu,2020/03/29,-14,3,-25,-32,-4,6
Gifu,2020/03/30,-3,4,-2,-16,-7,4
Gifu,2020/03/31,-3,5,-10,-19,-7,5
Gifu,2020/04/01,-13,-4,-27,-24,-7,6
Gifu,2020/04/02,-8,6,20,-19,-8,5
Gifu,2020/04/03,-12,6,33,-22,-8,6
Gifu,2020/04/04,-17,9,28,-30,-10,7
Gifu,2020/04/05,-22,6,1,-35,-10,8
Gifu,2020/04/06,-15,6,4,-23,-9,6
Gifu,2020/04/07,-15,4,15,-26,-11,7
Gifu,2020/04/08,-18,3,11,-27,-11,7
Gifu,2020/04/09,-19,3,9,-28,-10,7
Gifu,2020/04/10,-23,5,-8,-35,-11,9
Gifu,2020/04/11,-31,4,-12,-48,-21,12
Gifu,2020/04/12,-40,-5,-46,-58,-18,12
Gifu,2020/04/13,-34,-10,-53,-42,-14,11
Gifu,2020/04/14,-23,2,-5,-38,-14,9
Gifu,2020/04/15,-22,5,9,-36,-15,9
Gifu,2020/04/16,-22,4,9,-37,-15,10
Gifu,2020/04/17,-28,2,-15,-45,-17,12
Gifu,2020/04/18,-46,-11,-62,-65,-24,16
Gifu,2020/04/19,-41,-3,-18,-53,-22,12
Gifu,2020/04/20,-35,-7,-44,-45,-18,12
Gifu,2020/04/21,-31,-2,-1,-41,-19,11
Gifu,2020/04/22,-34,-5,-16,-44,-19,12
Gifu,2020/04/23,-33,-5,-12,-43,-19,12
Gifu,2020/04/24,-37,-2,-27,-49,-20,14
Gifu,2020/04/25,-41,-3,-25,-54,-25,14
Gifu,2020/04/26,-45,-8,-40,-61,-24,13
Gifu,2020/04/27,-31,-3,-16,-42,-19,12
Gifu,2020/04/28,-27,1,-7,-42,-20,11
Gifu,2020/04/29,-24,-5,1,-55,-57,20
Gifu,2020/04/30,-25,6,-8,-46,-26,14
Gifu,2020/05/01,-30,2,-11,-50,-32,18
Gifu,2020/05/02,-41,-3,-32,-56,-30,15
Gifu,2020/05/03,-42,-6,-36,-59,-26,12
Gifu,2020/05/04,-18,-1,-18,-62,-74,29
Gifu,2020/05/05,-14,5,16,-54,-74,29
Gifu,2020/05/06,-29,-12,-51,-68,-73,31
Gifu,2020/05/07,-25,0,-4,-41,-24,13
Gifu,2020/05/08,-29,-1,-7,-46,-25,15
Gifu,2020/05/09,-38,-7,-44,-58,-20,14
Gunma,2020/02/15,-2,2,11,-2,5,0
Gunma,2020/02/16,-4,0,-22,-7,1,1
Gunma,2020/02/17,-1,-1,2,0,1,1
Gunma,2020/02/18,1,2,4,0,1,1
Gunma,2020/02/19,1,2,9,-4,0,1
Gunma,2020/02/20,2,4,8,0,0,1
Gunma,2020/02/21,-2,2,13,0,0,1
Gunma,2020/02/22,-1,5,13,5,1,1
Gunma,2020/02/23,1,6,-1,16,0,0
Gunma,2020/02/24,30,5,64,14,-49,13
Gunma,2020/02/25,0,6,1,-2,1,1
Gunma,2020/02/26,-2,4,-6,-6,0,1
Gunma,2020/02/27,-1,7,0,-8,1,1
Gunma,2020/02/28,2,19,3,-12,1,2
Gunma,2020/02/29,-4,12,3,-20,6,3
Gunma,2020/03/01,-7,7,7,-21,2,3
Gunma,2020/03/02,-4,3,-17,-18,-1,3
Gunma,2020/03/03,-2,7,19,-17,0,3
Gunma,2020/03/04,-6,0,-13,-20,-1,4
Gunma,2020/03/05,-5,2,-3,-19,-2,4
Gunma,2020/03/06,-6,0,6,-17,-2,4
Gunma,2020/03/07,-8,1,7,-20,-1,4
Gunma,2020/03/08,-14,0,-29,-28,-3,6
Gunma,2020/03/09,-5,1,19,-17,-2,4
Gunma,2020/03/10,-8,-2,-24,-24,-3,5
Gunma,2020/03/11,-2,3,15,-18,-3,4
Gunma,2020/03/12,-1,6,23,-16,-2,3
Gunma,2020/03/13,-3,2,22,-18,-4,4
Gunma,2020/03/14,-15,-5,-49,-33,-6,7
Gunma,2020/03/15,-8,5,16,-17,-1,4
Gunma,2020/03/16,-6,-1,-8,-17,-2,4
Gunma,2020/03/17,-2,4,24,-14,-1,3
Gunma,2020/03/18,-2,3,21,-14,-3,3
Gunma,2020/03/19,5,8,30,-5,-2,2
Gunma,2020/03/20,14,5,29,-6,-48,16
Gunma,2020/03/21,-3,6,42,-5,-6,3
Gunma,2020/03/22,-7,3,20,-8,-2,3
Gunma,2020/03/23,-1,-1,12,-13,-3,3
Gunma,2020/03/24,1,0,3,-15,-4,4
Gunma,2020/03/25,2,6,26,-13,-3,3
Gunma,2020/03/26,3,10,42,-10,-4,3
Gunma,2020/03/27,-3,5,38,-17,-5,4
Gunma,2020/03/28,-13,1,6,-31,-3,5
Gunma,2020/03/29,-33,-15,-55,-49,-8,9
Gunma,2020/03/30,-3,1,5,-20,-6,5
Gunma,2020/03/31,-2,5,14,-22,-5,5
Gunma,2020/04/01,-15,-3,-29,-31,-7,6
Gunma,2020/04/02,-10,2,8,-25,-7,5
Gunma,2020/04/03,-11,2,40,-25,-7,6
Gunma,2020/04/04,-15,3,34,-32,-8,7
Gunma,2020/04/05,-20,0,-1,-40,-9,7
Gunma,2020/04/06,-9,1,8,-26,-7,6
Gunma,2020/04/07,-8,3,25,-27,-10,6
Gunma,2020/04/08,-14,0,17,-30,-10,6
Gunma,2020/04/09,-14,0,9,-32,-10,7
Gunma,2020/04/10,-18,0,-4,-37,-11,8
Gunma,2020/04/11,-23,-1,7,-47,-17,10
Gunma,2020/04/12,-31,-6,-11,-55,-13,10
Gunma,2020/04/13,-30,-15,-47,-45,-13,11
Gunma,2020/04/14,-17,1,-1,-39,-12,9
Gunma,2020/04/15,-14,5,25,-35,-12,8
Gunma,2020/04/16,-16,3,12,-37,-13,9
Gunma,2020/04/17,-21,2,6,-44,-15,11
Gunma,2020/04/18,-49,-21,-62,-68,-22,16
Gunma,2020/04/19,-36,-4,4,-52,-17,11
Gunma,2020/04/20,-28,-7,-32,-48,-17,12
Gunma,2020/04/21,-23,-2,28,-41,-17,11
Gunma,2020/04/22,-27,-5,4,-44,-19,12
Gunma,2020/04/23,-26,-2,13,-43,-19,12
Gunma,2020/04/24,-30,-3,3,-48,-20,14
Gunma,2020/04/25,-37,-5,-3,-56,-22,13
Gunma,2020/04/26,-40,-10,-5,-58,-20,11
Gunma,2020/04/27,-24,-3,1,-45,-19,12
Gunma,2020/04/28,-20,0,13,-44,-20,11
Gunma,2020/04/29,-19,-7,32,-55,-58,20
Gunma,2020/04/30,-21,3,18,-46,-26,14
Gunma,2020/05/01,-25,-1,16,-51,-30,17
Gunma,2020/05/02,-39,-8,-10,-58,-26,14
Gunma,2020/05/03,-39,-10,-9,-59,-25,11
Gunma,2020/05/04,-10,-6,22,-57,-72,28
Gunma,2020/05/05,-11,-2,43,-55,-72,28
Gunma,2020/05/06,-26,-15,-22,-65,-71,30
Gunma,2020/05/07,-20,2,7,-44,-25,13
Gunma,2020/05/08,-25,-2,21,-46,-24,15
Gunma,2020/05/09,-34,-8,-13,-57,-16,12
Hiroshima,2020/02/15,-1,3,-5,-4,5,0
Hiroshima,2020/02/16,-6,-3,-43,-13,-2,2
Hiroshima,2020/02/17,-3,3,-6,0,1,1
Hiroshima,2020/02/18,0,2,3,-2,0,1
Hiroshima,2020/02/19,1,0,7,0,0,0
Hiroshima,2020/02/20,2,4,7,0,1,0
Hiroshima,2020/02/21,0,1,6,0,1,0
Hiroshima,2020/02/22,-2,2,-16,-2,-2,1
Hiroshima,2020/02/23,8,7,14,16,0,-2
Hiroshima,2020/02/24,18,4,46,-10,-52,13
Hiroshima,2020/02/25,-1,5,4,0,2,0
Hiroshima,2020/02/26,1,3,7,-2,1,0
Hiroshima,2020/02/27,0,9,4,-4,1,1
Hiroshima,2020/02/28,-2,12,-4,-14,2,2
Hiroshima,2020/02/29,-10,8,-44,-31,4,4
Hiroshima,2020/03/01,-5,10,-11,-24,4,3
Hiroshima,2020/03/02,-5,7,4,-18,1,2
Hiroshima,2020/03/03,0,8,15,-19,0,2
Hiroshima,2020/03/04,-8,-1,-14,-20,-2,4
Hiroshima,2020/03/05,-5,4,-6,-20,-2,3
Hiroshima,2020/03/06,-6,2,9,-21,-1,3
Hiroshima,2020/03/07,-14,1,-24,-32,-2,5
Hiroshima,2020/03/08,-10,5,-14,-31,-3,4
Hiroshima,2020/03/09,-7,2,11,-17,0,3
Hiroshima,2020/03/10,-5,1,-14,-21,-3,4
Hiroshima,2020/03/11,-1,3,15,-18,-2,3
Hiroshima,2020/03/12,0,6,20,-17,-3,3
Hiroshima,2020/03/13,-2,3,10,-20,-2,4
Hiroshima,2020/03/14,-5,4,-9,-27,-5,4
Hiroshima,2020/03/15,-7,4,-10,-27,-3,3
Hiroshima,2020/03/16,-5,1,-5,-17,-1,3
Hiroshima,2020/03/17,-1,5,21,-17,-1,3
Hiroshima,2020/03/18,0,3,24,-15,-2,2
Hiroshima,2020/03/19,9,7,23,-10,-3,1
Hiroshima,2020/03/20,13,7,49,-26,-50,14
Hiroshima,2020/03/21,-5,4,20,-18,-6,3
Hiroshima,2020/03/22,-8,1,-10,-20,-2,2
Hiroshima,2020/03/23,-1,2,21,-13,-1,2
Hiroshima,2020/03/24,1,4,27,-15,-2,2
Hiroshima,2020/03/25,5,6,29,-13,-3,2
Hiroshima,2020/03/26,3,8,13,-15,-3,2
Hiroshima,2020/03/27,-10,-3,-33,-23,-5,6
Hiroshima,2020/03/28,-10,3,-34,-30,-5,6
Hiroshima,2020/03/29,-7,7,15,-24,-1,3
Hiroshima,2020/03/30,-2,4,12,-17,-4,4
Hiroshima,2020/03/31,-2,6,17,-19,-3,4
Hiroshima,2020/04/01,-13,-4,-23,-24,-7,6
Hiroshima,2020/04/02,-5,7,35,-20,-7,4
Hiroshima,2020/04/03,-10,4,28,-24,-7,5
Hiroshima,2020/04/04,-13,8,36,-29,-8,6
Hiroshima,2020/04/05,-15,8,27,-32,-9,5
Hiroshima,2020/04/06,-9,5,30,-18,-6,4
Hiroshima,2020/04/07,-7,9,32,-22,-9,5
Hiroshima,2020/04/08,-12,4,23,-24,-9,5
Hiroshima,2020/04/09,-14,5,16,-25,-8,5
Hiroshima,2020/04/10,-15,7,8,-29,-8,6
Hiroshima,2020/04/11,-29,2,-9,-48,-18,11
Hiroshima,2020/04/12,-47,-17,-72,-64,-20,12
Hiroshima,2020/04/13,-26,-3,-31,-31,-9,8
Hiroshima,2020/04/14,-19,3,13,-32,-9,7
Hiroshima,2020/04/15,-18,6,10,-33,-11,7
Hiroshima,2020/04/16,-20,6,13,-35,-12,8
Hiroshima,2020/04/17,-26,3,-12,-42,-13,11
Hiroshima,2020/04/18,-39,-2,-27,-55,-19,13
Hiroshima,2020/04/19,-43,-7,-23,-58,-21,11
Hiroshima,2020/04/20,-29,-1,-3,-40,-14,10
Hiroshima,2020/04/21,-29,-1,13,-41,-17,11
Hiroshima,2020/04/22,-32,-3,9,-43,-19,12
Hiroshima,2020/04/23,-34,-2,-3,-44,-20,12
Hiroshima,2020/04/24,-34,1,-2,-47,-21,14
Hiroshima,2020/04/25,-41,-1,-8,-55,-24,13
Hiroshima,2020/04/26,-46,-9,-22,-59,-25,12
Hiroshima,2020/04/27,-31,1,7,-43,-21,12
Hiroshima,2020/04/28,-27,5,16,-44,-22,11
Hiroshima,2020/04/29,-28,-5,27,-60,-63,21
Hiroshima,2020/04/30,-28,6,11,-46,-28,14
Hiroshima,2020/05/01,-31,1,7,-50,-32,17
Hiroshima,2020/05/02,-42,-4,-9,-55,-30,14
Hiroshima,2020/05/03,-52,-21,-68,-69,-33,14
Hiroshima,2020/05/04,-24,-1,19,-62,-73,27
Hiroshima,2020/05/05,-22,0,38,-62,-74,27
Hiroshima,2020/05/06,-30,-8,18,-63,-71,28
Hiroshima,2020/05/07,-28,3,8,-43,-22,12
Hiroshima,2020/05/08,-30,0,7,-46,-22,14
Hiroshima,2020/05/09,-40,-9,-39,-56,-19,13
