Date,Location,Positive,Tested,Hosp_require,Hosp_mild,Hosp_severe,Hosp_unknown,Discharged,Fatal
2020/05/22,Returnee,15,829,0,,0,,15,0
2020/05/23,Domestic,16362,227445,2293,,174,,13227,808
2020/05/23,Airport,159,40203,157,,0,,2,0
2020/05/23,Returnee,15,829,0,,0,,15,0
2020/05/24,Domestic,16375,229669,2130,,168,,13396,820
2020/05/24,Airport,160,40703,157,,0,,2,0
2020/05/24,Returnee,15,829,0,,0,,15,0
2020/05/25,Domestic,16404,230562,2111,,165,,13446,830
2020/05/25,Airport,162,41297,10,,0,,2,0
2020/05/25,Returnee,15,829,0,,0,,15,0
